Var1,sub,ch,x,y,z
172,EL017,LFP_R_03_STN_MT,12.2269,-13.5438,-6.06715
173,EL017,LFP_R_04_STN_MT,13.0165,-14.3562,-5.79906
174,EL017,LFP_R_05_STN_MT,14.0421,-12.378,-4.34307
175,EL017,LFP_R_06_STN_MT,13.0763,-12.4949,-3.8226
176,EL017,LFP_R_07_STN_MT,13.8762,-13.3142,-3.57409
177,EL017,LFP_R_08_STN_MT,14.5764,-11.6116,-1.60162
178,EL019,ECOG_R_01_SMC_AT,18.447271306680342,-56.035715121185326,70.59683320130198
179,EL019,ECOG_R_02_SMC_AT,18.206055705231684,-46.0566619107097,74.52069342889425
180,EL019,ECOG_R_03_SMC_AT,18.99974971562888,-39.451158391970154,75.19673567331348
181,EL019,ECOG_R_04_SMC_AT,23.609474777595203,-29.866561717500588,73.55271436330533
182,EL019,ECOG_R_05_SMC_AT,26.323917048724528,-17.592388858844465,72.8511705132335
183,EL019,ECOG_R_06_SMC_AT,24.25035720093651,-5.7237475314187805,71.07309084509724
184,EL019,LFP_R_01_STN_MT,12.1325,-13.9556,-10.604
185,EL019,LFP_R_02_STN_MT,13.0177,-12.6313,-8.76624
186,EL019,LFP_R_03_STN_MT,12.1142,-12.9868,-8.23021
187,EL019,LFP_R_04_STN_MT,12.972,-13.7187,-8.04576
188,EL019,LFP_R_05_STN_MT,13.5628,-11.7999,-6.51792
189,EL019,LFP_R_06_STN_MT,12.648,-12.158,-6.00536
190,EL019,LFP_R_07_STN_MT,13.516,-12.8688,-5.83785
191,EL019,LFP_R_08_STN_MT,13.7811,-11.3792,-3.81091
192,EL020,ECOG_R_01_SMC_AT,56.20905993815961,-44.232614347668,51.93617071930558
193,EL020,ECOG_R_02_SMC_AT,54.95355433652482,-37.6169837293632,55.19827504037461
194,EL020,ECOG_R_03_SMC_AT,51.119398595454484,-27.118840353631136,58.951553049767085
195,EL020,ECOG_R_04_SMC_AT,49.07391078218002,-18.10395072363022,60.02951702950116
196,EL020,ECOG_R_05_SMC_AT,45.00975645817231,-8.159285362787012,60.557500012887466
197,EL020,ECOG_R_06_SMC_AT,39.687030248252356,1.5898995251044379,60.18431016038926
198,EL020,LFP_R_01_STN_MT,11.3672,-14.3496,-9.9585
199,EL020,LFP_R_02_STN_MT,11.5555,-13.1228,-8.0154
200,EL020,LFP_R_03_STN_MT,12.2155,-13.9383,-7.74575
201,EL020,LFP_R_04_STN_MT,12.5064,-13.1365,-8.39449
